1901	1	-3
1901	2	-2
1901	3	7
1901	4	13
1901	5	17
1901	6	25
1901	7	30
1901	8	28
1901	9	29
1901	10	11
1901	11	10
1901	12	9
1902	1	-6
1902	2	1
1902	3	3
1902	4	14
1902	5	14
1902	6	26
1902	7	26
1902	8	32
1902	9	21
1902	10	18
1902	11	15
1902	12	11
1903	1	-4
1903	2	-8
1903	3	2
1903	4	11
1903	5	21
1903	6	25
1903	7	33
1903	8	28
1903	9	22
1903	10	18
1903	11	17
1903	12	9
1904	1	-3
1904	2	-2
1904	3	1
1904	4	10
1904	5	23
1904	6	23
1904	7	25
1904	8	35
1904	9	24
1904	10	17
1904	11	16
1904	12	6
1905	1	-1
1905	2	-8
1905	3	3
1905	4	14
1905	5	15
1905	6	20
1905	7	30
1905	8	29
1905	9	22
1905	10	10
1905	11	14
1905	12	3
1906	1	-1
1906	2	-3
1906	3	4
1906	4	15
1906	5	20
1906	6	25
1906	7	30
1906	8	35
1906	9	23
1906	10	17
1906	11	12
1906	12	7
1907	1	-4
1907	2	-3
1907	3	4
1907	4	15
1907	5	18
1907	6	24
1907	7	27
1907	8	26
1907	9	27
1907	10	18
1907	11	14
1907	12	10
1908	1	2
1908	2	-4
1908	3	3
1908	4	9
1908	5	18
1908	6	29
1908	7	26
1908	8	26
1908	9	26
1908	10	18
1908	11	17
1908	12	4
1909	1	0
1909	2	-2
1909	3	4
1909	4	17
1909	5	19
1909	6	20
1909	7	28
1909	8	34
1909	9	27
1909	10	11
1909	11	15
1909	12	4
1910	1	1
1910	2	-6
1910	3	2
1910	4	14
1910	5	15
1910	6	20
1910	7	30
1910	8	27
1910	9	25
1910	10	19
1910	11	12
1910	12	11
1911	1	-6
1911	2	1
1911	3	1
1911	4	15
1911	5	21
1911	6	21
1911	7	25
1911	8	31
1911	9	29
1911	10	17
1911	11	15
1911	12	8
1912	1	1
1912	2	-5
1912	3	6
1912	4	13
1912	5	20
1912	6	23
1912	7	33
1912	8	30
1912	9	28
1912	10	11
1912	11	10
1912	12	11
1913	1	-3
1913	2	1
1913	3	0
1913	4	16
1913	5	22
1913	6	25
1913	7	24
1913	8	35
1913	9	26
1913	10	13
1913	11	16
1913	12	7
1914	1	0
1914	2	-7
1914	3	1
1914	4	13
